wine_id,vineyard_id,name,classification,year,rating,location,appelation
47,42150,Terre di Giurfo Frappato Vittoria Belsito,Red,2011,4.25,Vittoria DOC,Belsito
48,42150,Terre di Giurfo Frappato Vittoria Belsito,Red,2010,4.25,Vittoria DOC,Belsito
49,42150,Terre di Giurfo Frappato Vittoria Belsito,Red,2009,0.05,Vittoria DOC,Belsito
50,57108,Masseria Setteporte Etna Rosso,Red,2022,,Etna DOC,Rosso
51,57108,Masseria Setteporte Etna Rosso,Red,2021,4.5,Etna DOC,Rosso
52,57108,Masseria Setteporte Etna Rosso,Red,2020,4.2,Etna DOC,Rosso
53,57108,Masseria Setteporte Etna Rosso,Red,2019,4.5,Etna DOC,Rosso
54,57108,Masseria Setteporte Etna Rosso,Red,2017,4.35,Etna DOC,Rosso
55,57108,Masseria Setteporte Etna Rosso,Red,2016,4.5,Etna DOC,Rosso
56,57108,Masseria Setteporte Etna Rosso,Red,2015,4.45,Etna DOC,Rosso
57,57108,Masseria Setteporte Etna Rosso,Red,2014,4.4,Etna DOC,Rosso
58,57108,Masseria Setteporte Etna Rosso,Red,2013,4.4,Etna DOC,Rosso
59,57108,Masseria Setteporte Etna Rosso,Red,2012,4.4,Etna DOC,Rosso
60,57108,Masseria Setteporte Etna Rosso,Red,2011,4.6,Etna DOC,Rosso
61,57108,Masseria Setteporte Etna Rosso,Red,2010,4.45,Etna DOC,Rosso
62,57108,Masseria Setteporte Etna Rosso,Red,2009,,Etna DOC,Rosso
63,57108,Masseria Setteporte Etna Rosso WS,Red,2021,,Etna DOC,Rosso
64,57108,Masseria Setteporte Etna Rosso WS,Red,2020,,Etna DOC,Rosso
65,57108,Masseria Setteporte Etna Rosso WS,Red,2019,,Etna DOC,Rosso
66,57108,Masseria Setteporte Etna Rosso WS,Red,2013,4.55,Etna DOC,Rosso
67,57108,Masseria Setteporte Nerello Mascalese Etna,Red,2021,,Etna DOC,Rosso
68,57108,Masseria Setteporte Nerello Mascalese Etna,Red,2020,,Etna DOC,Rosso
69,45534,Bodega Felix Lavaque,Red,2006,,Cafayate,Felix
70,45534,Bodega Felix Lavaque,Red,2005,,Cafayate,Felix
71,45534,Bodega Felix Lavaque,Red,2003,,Cafayate,Felix
72,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2020,,Cafayate,Felix
73,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2019,,Cafayate,Felix
74,45534,Bodega Felix Lavaque Cabernet Sauvignon Quara,Red,2017,,Cafayate,Felix
